order_id,order_date,required_date,shipped_date,product_id,product_name,order_unit_price,quantity,discount,ship_via,freight,ship_name,ship_city,ship_country,shipper_id,shipper_name,category_id,category_name,quantity_per_unit,product_unit_price,units_in_stock,units_on_order,reorder_level,discontinued,supplier_id,supplier_name,supplier_city,supplier_country,customer_id,customer_name,customer_city,customer_country,lat,long,employee_id,employee_name,employee_title,employee_hire_date,employee_city,employee_country
10812,1998-01-02,1998-01-30,1998-01-12,72,Mozzarella di Giovanni,34.8,40,0.1,1,59.78,Reggiani Caseifici,Reggio Emilia,Italy,1,Speedy Express,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,REGGC,Reggiani Caseifici,Reggio Emilia,Italy,4.187.194,1.256.738,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10607,1997-07-22,1997-08-19,1997-07-25,72,Mozzarella di Giovanni,34.8,12,0.0,1,200.24,Save-a-lot Markets,Boise,USA,1,Speedy Express,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10297,1996-09-04,1996-10-16,1996-09-10,72,Mozzarella di Giovanni,27.8,20,0.0,2,5.74,Blondel père et fils,Strasbourg,France,2,United Package,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,BLONP,Blondesddsl père et fils,Strasbourg,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10372,1996-12-04,1997-01-01,1996-12-09,72,Mozzarella di Giovanni,27.8,42,0.25,2,890.78,Queen Cozinha,Sao Paulo,Brazil,2,United Package,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,QUEEN,Queen Cozinha,Sao Paulo,Brazil,-14.235.004,-5.192.528,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10358,1996-11-20,1996-12-18,1996-11-27,36,Inlagd Sill,15.2,20,0.05,1,19.64,La maison d'Asie,Toulouse,France,1,Speedy Express,8,Seafood,24 - 250 g  jars,19.0,112,0,20,0,17,Svensk Sjöföda AB,Stockholm,Sweden,LAMAI,La maison d'Asie,Toulouse,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10730,1997-11-05,1997-12-03,1997-11-14,65,Louisiana Fiery Hot Pepper Sauce,21.05,10,0.05,1,20.12,Bon app',Marseille,France,1,Speedy Express,2,Condiments,32 - 8 oz bottles,21.05,76,0,0,0,2,New Orleans Cajun Delights,New Orleans,USA,BONAP,Bon app',Marseille,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10872,1998-02-05,1998-03-05,1998-02-09,65,Louisiana Fiery Hot Pepper Sauce,21.05,21,0.05,2,175.32,Godos Cocina Típica,Sevilla,Spain,2,United Package,2,Condiments,32 - 8 oz bottles,21.05,76,0,0,0,2,New Orleans Cajun Delights,New Orleans,USA,GODOS,Godos Cocina Típica,Sevilla,Spain,40.463.667,-374.922,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10869,1998-02-04,1998-03-04,1998-02-09,68,Scottish Longbreads,12.5,20,0.0,1,143.28,Seven Seas Imports,London,UK,1,Speedy Express,3,Confections,10 boxes x 8 pieces,12.5,6,10,15,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,SEVES,Seven Seas Imports,London,UK,55.378.051,-3.435.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10529,1997-05-07,1997-06-04,1997-05-09,68,Scottish Longbreads,12.5,20,0.0,2,66.69,Maison Dewey,Bruxelles,Belgium,2,United Package,3,Confections,10 boxes x 8 pieces,12.5,6,10,15,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,MAISD,Maison Dewey,Bruxelles,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10922,1998-03-03,1998-03-31,1998-03-05,17,Alice Mutton,39.0,15,0.0,3,62.74,Hanari Carnes,Rio de Janeiro,Brazil,3,Federal Shipping,6,Meat/Poultry,20 - 1 kg tins,39.0,0,0,0,1,7,"Pavlova, Ltd.",Melbourne,Australia,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,-14.235.004,-5.192.528,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10714,1997-10-22,1997-11-19,1997-10-27,17,Alice Mutton,39.0,27,0.25,3,24.49,Save-a-lot Markets,Boise,USA,3,Federal Shipping,6,Meat/Poultry,20 - 1 kg tins,39.0,0,0,0,1,7,"Pavlova, Ltd.",Melbourne,Australia,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10607,1997-07-22,1997-08-19,1997-07-25,17,Alice Mutton,39.0,100,0.0,1,200.24,Save-a-lot Markets,Boise,USA,1,Speedy Express,6,Meat/Poultry,20 - 1 kg tins,39.0,0,0,0,1,7,"Pavlova, Ltd.",Melbourne,Australia,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10922,1998-03-03,1998-03-31,1998-03-05,24,Guaraná Fantástica,4.5,35,0.0,3,62.74,Hanari Carnes,Rio de Janeiro,Brazil,3,Federal Shipping,1,Beverages,12 - 355 ml cans,4.5,20,0,0,1,10,Refrescos Americanas LTDA,Sao Paulo,Brazil,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,-14.235.004,-5.192.528,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10866,1998-02-03,1998-03-03,1998-02-12,24,Guaraná Fantástica,4.5,6,0.25,1,109.11,Berglunds snabbköp,Luleå,Sweden,1,Speedy Express,1,Beverages,12 - 355 ml cans,4.5,20,0,0,1,10,Refrescos Americanas LTDA,Sao Paulo,Brazil,BERGS,Berglunds snabbköp,Luleå,Sweden,60.128.161,18.643.501,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10358,1996-11-20,1996-12-18,1996-11-27,24,Guaraná Fantástica,3.6,10,0.05,1,19.64,La maison d'Asie,Toulouse,France,1,Speedy Express,1,Beverages,12 - 355 ml cans,4.5,20,0,0,1,10,Refrescos Americanas LTDA,Sao Paulo,Brazil,LAMAI,La maison d'Asie,Toulouse,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10254,1996-07-11,1996-08-08,1996-07-23,24,Guaraná Fantástica,3.6,15,0.15,2,22.98,Chop-suey Chinese,Bern,Switzerland,2,United Package,1,Beverages,12 - 355 ml cans,4.5,20,0,0,1,10,Refrescos Americanas LTDA,Sao Paulo,Brazil,CHOPS,Chop-suey Chinese,Bern,Switzerland,46.818.188,8.227.512,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10648,1997-08-28,1997-10-09,1997-09-09,24,Guaraná Fantástica,4.5,15,0.15,2,14.25,Ricardo Adocicados,Rio de Janeiro,Brazil,2,United Package,1,Beverages,12 - 355 ml cans,4.5,20,0,0,1,10,Refrescos Americanas LTDA,Sao Paulo,Brazil,RICAR,Ricardo Adocicados,Rio de Janeiro,Brazil,-14.235.004,-5.192.528,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10841,1998-01-20,1998-02-17,1998-01-29,10,Ikura,31.0,16,0.0,2,424.3,Suprêmes délices,Charleroi,Belgium,2,United Package,8,Seafood,12 - 200 ml jars,31.0,31,0,0,0,4,Tokyo Traders,Tokyo,Japan,SUPRD,Suprêmes délices,Charleroi,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10874,1998-02-06,1998-03-06,1998-02-11,10,Ikura,31.0,10,0.0,2,19.58,Godos Cocina Típica,Sevilla,Spain,2,United Package,8,Seafood,12 - 200 ml jars,31.0,31,0,0,0,4,Tokyo Traders,Tokyo,Japan,GODOS,Godos Cocina Típica,Sevilla,Spain,40.463.667,-374.922,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10607,1997-07-22,1997-08-19,1997-07-25,7,Uncle Bob's Organic Dried Pears,30.0,45,0.0,1,200.24,Save-a-lot Markets,Boise,USA,1,Speedy Express,7,Produce,12 - 1 lb pkgs.,30.0,15,0,10,0,3,Grandma Kelly's Homestead,Ann Arbor,USA,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10870,1998-02-04,1998-03-04,1998-02-13,35,Steeleye Stout,18.0,3,0.0,3,12.04,Wolski Zajazd,Warszawa,Poland,3,Federal Shipping,1,Beverages,24 - 12 oz bottles,18.0,20,0,15,0,16,Bigfoot Breweries,Bend,USA,WOLZA,Wolski  Zajazd,Warszawa,Poland,51.919.438,19.145.136,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10872,1998-02-05,1998-03-05,1998-02-09,62,Tarte au sucre,49.3,20,0.05,2,175.32,Godos Cocina Típica,Sevilla,Spain,2,United Package,3,Confections,48 pies,49.3,17,0,0,0,29,Forêts d'érables,Ste-Hyacinthe,Canada,GODOS,Godos Cocina Típica,Sevilla,Spain,40.463.667,-374.922,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10711,1997-10-21,1997-12-02,1997-10-29,41,Jack's New England Clam Chowder,9.65,42,0.0,2,52.41,Save-a-lot Markets,Boise,USA,2,United Package,8,Seafood,12 - 12 oz cans,9.65,85,0,10,0,19,New England Seafood Cannery,Boston,USA,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10649,1997-08-28,1997-09-25,1997-08-29,28,Rössle Sauerkraut,45.6,20,0.0,3,6.2,Maison Dewey,Bruxelles,Belgium,3,Federal Shipping,7,Produce,25 - 825 g cans,45.6,26,0,0,1,12,Plutzer Lebensmittelgroßmärkte AG,Frankfurt,Germany,MAISD,Maison Dewey,Bruxelles,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10474,1997-03-13,1997-04-10,1997-03-21,28,Rössle Sauerkraut,36.4,18,0.0,2,83.49,Pericles Comidas clásicas,México D.F.,Mexico,2,United Package,7,Produce,25 - 825 g cans,45.6,26,0,0,1,12,Plutzer Lebensmittelgroßmärkte AG,Frankfurt,Germany,PERIC,Pericles Comidas clásicas,México D.F.,Mexico,23.634.501,-102.552.784,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10714,1997-10-22,1997-11-19,1997-10-27,56,Gnocchi di nonna Alice,38.0,18,0.25,3,24.49,Save-a-lot Markets,Boise,USA,3,Federal Shipping,5,Grains/Cereals,24 - 250 g pkgs.,38.0,21,10,30,0,26,Pasta Buttini s.r.l.,Salerno,Italy,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10841,1998-01-20,1998-02-17,1998-01-29,56,Gnocchi di nonna Alice,38.0,30,0.0,2,424.3,Suprêmes délices,Charleroi,Belgium,2,United Package,5,Grains/Cereals,24 - 250 g pkgs.,38.0,21,10,30,0,26,Pasta Buttini s.r.l.,Salerno,Italy,SUPRD,Suprêmes délices,Charleroi,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10378,1996-12-10,1997-01-07,1996-12-19,71,Flotemysost,17.2,6,0.0,3,5.44,Folk och fä HB,Bräcke,Sweden,3,Federal Shipping,4,Dairy Products,10 - 500 g pkgs.,21.5,26,0,0,0,15,Norske Meierier,Sandvika,Norway,FOLKO,Folk och fä HB,Bräcke,Sweden,60.128.161,18.643.501,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10320,1996-10-03,1996-10-17,1996-10-18,71,Flotemysost,17.2,30,0.0,3,34.57,Wartian Herkku,Oulu,Finland,3,Federal Shipping,4,Dairy Products,10 - 500 g pkgs.,21.5,26,0,0,0,15,Norske Meierier,Sandvika,Norway,WARTH,Wartian Herkku,Oulu,Finland,6.192.411,25.748.151,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10333,1996-10-18,1996-11-15,1996-10-25,71,Flotemysost,17.2,40,0.1,3,0.59,Wartian Herkku,Oulu,Finland,3,Federal Shipping,4,Dairy Products,10 - 500 g pkgs.,21.5,26,0,0,0,15,Norske Meierier,Sandvika,Norway,WARTH,Wartian Herkku,Oulu,Finland,6.192.411,25.748.151,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10463,1997-03-04,1997-04-01,1997-03-06,19,Teatime Chocolate Biscuits,7.3,21,0.0,3,14.78,Suprêmes délices,Charleroi,Belgium,3,Federal Shipping,3,Confections,10 boxes x 12 pieces,9.2,25,0,5,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,SUPRD,Suprêmes délices,Charleroi,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10711,1997-10-21,1997-12-02,1997-10-29,19,Teatime Chocolate Biscuits,9.2,12,0.0,2,52.41,Save-a-lot Markets,Boise,USA,2,United Package,3,Confections,10 boxes x 12 pieces,9.2,25,0,5,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10654,1997-09-02,1997-09-30,1997-09-11,4,Chef Anton's Cajun Seasoning,22.0,12,0.1,1,55.26,Berglunds snabbköp,Luleå,Sweden,1,Speedy Express,2,Condiments,48 - 6 oz jars,22.0,53,0,0,0,2,New Orleans Cajun Delights,New Orleans,USA,BERGS,Berglunds snabbköp,Luleå,Sweden,60.128.161,18.643.501,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10254,1996-07-11,1996-08-08,1996-07-23,74,Longlife Tofu,8.0,21,0.0,2,22.98,Chop-suey Chinese,Bern,Switzerland,2,United Package,7,Produce,5 kg pkg.,10.0,4,20,5,0,4,Tokyo Traders,Tokyo,Japan,CHOPS,Chop-suey Chinese,Bern,Switzerland,46.818.188,8.227.512,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10714,1997-10-22,1997-11-19,1997-10-27,2,Chang,19.0,30,0.25,3,24.49,Save-a-lot Markets,Boise,USA,3,Federal Shipping,1,Beverages,24 - 12 oz bottles,19.0,17,40,25,1,1,Exotic Liquids,London,UK,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10866,1998-02-03,1998-03-03,1998-02-12,2,Chang,19.0,21,0.25,1,109.11,Berglunds snabbköp,Luleå,Sweden,1,Speedy Express,1,Beverages,24 - 12 oz bottles,19.0,17,40,25,1,1,Exotic Liquids,London,UK,BERGS,Berglunds snabbköp,Luleå,Sweden,60.128.161,18.643.501,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10851,1998-01-26,1998-02-23,1998-02-02,2,Chang,19.0,5,0.05,1,160.55,Ricardo Adocicados,Rio de Janeiro,Brazil,1,Speedy Express,1,Beverages,24 - 12 oz bottles,19.0,17,40,25,1,1,Exotic Liquids,London,UK,RICAR,Ricardo Adocicados,Rio de Janeiro,Brazil,-14.235.004,-5.192.528,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10812,1998-01-02,1998-01-30,1998-01-12,77,Original Frankfurter grüne Soße,13.0,20,0.0,1,59.78,Reggiani Caseifici,Reggio Emilia,Italy,1,Speedy Express,2,Condiments,12 boxes,13.0,32,0,15,0,12,Plutzer Lebensmittelgroßmärkte AG,Frankfurt,Germany,REGGC,Reggiani Caseifici,Reggio Emilia,Italy,4.187.194,1.256.738,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10841,1998-01-20,1998-02-17,1998-01-29,77,Original Frankfurter grüne Soße,13.0,15,0.0,2,424.3,Suprêmes délices,Charleroi,Belgium,2,United Package,2,Condiments,12 boxes,13.0,32,0,15,0,12,Plutzer Lebensmittelgroßmärkte AG,Frankfurt,Germany,SUPRD,Suprêmes délices,Charleroi,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10823,1998-01-09,1998-02-06,1998-01-13,77,Original Frankfurter grüne Soße,13.0,15,0.1,2,163.97,LILA-Supermercado,Barquisimeto,Venezuela,2,United Package,2,Condiments,12 boxes,13.0,32,0,15,0,12,Plutzer Lebensmittelgroßmärkte AG,Frankfurt,Germany,LILAS,LILA-Supermercado,Barquisimeto,Venezuela,642.375,-6.658.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10333,1996-10-18,1996-11-15,1996-10-25,21,Sir Rodney's Scones,8.0,10,0.1,3,0.59,Wartian Herkku,Oulu,Finland,3,Federal Shipping,3,Confections,24 pkgs. x 4 pieces,10.0,3,40,5,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,WARTH,Wartian Herkku,Oulu,Finland,6.192.411,25.748.151,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10397,1996-12-27,1997-01-24,1997-01-02,21,Sir Rodney's Scones,8.0,10,0.15,1,60.26,Princesa Isabel Vinhos,Lisboa,Portugal,1,Speedy Express,3,Confections,24 pkgs. x 4 pieces,10.0,3,40,5,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,PRINI,Princesa Isabel Vinhos,Lisboa,Portugal,39.399.872,-8.224.454,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10477,1997-03-17,1997-04-14,1997-03-25,21,Sir Rodney's Scones,8.0,21,0.25,2,13.02,Princesa Isabel Vinhos,Lisboa,Portugal,2,United Package,3,Confections,24 pkgs. x 4 pieces,10.0,3,40,5,0,8,"Specialty Biscuits, Ltd.",Manchester,UK,PRINI,Princesa Isabel Vinhos,Lisboa,Portugal,39.399.872,-8.224.454,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10254,1996-07-11,1996-08-08,1996-07-23,55,Pâté chinois,19.2,21,0.15,2,22.98,Chop-suey Chinese,Bern,Switzerland,2,United Package,6,Meat/Poultry,24 boxes x 2 pies,24.0,115,0,20,0,25,Ma Maison,Montréal,Canada,CHOPS,Chop-suey Chinese,Bern,Switzerland,46.818.188,8.227.512,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10872,1998-02-05,1998-03-05,1998-02-09,55,Pâté chinois,24.0,10,0.05,2,175.32,Godos Cocina Típica,Sevilla,Spain,2,United Package,6,Meat/Poultry,24 boxes x 2 pies,24.0,115,0,20,0,25,Ma Maison,Montréal,Canada,GODOS,Godos Cocina Típica,Sevilla,Spain,40.463.667,-374.922,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10529,1997-05-07,1997-06-04,1997-05-09,55,Pâté chinois,24.0,14,0.0,2,66.69,Maison Dewey,Bruxelles,Belgium,2,United Package,6,Meat/Poultry,24 boxes x 2 pies,24.0,115,0,20,0,25,Ma Maison,Montréal,Canada,MAISD,Maison Dewey,Bruxelles,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10714,1997-10-22,1997-11-19,1997-10-27,58,Escargots de Bourgogne,13.25,12,0.25,3,24.49,Save-a-lot Markets,Boise,USA,3,Federal Shipping,8,Seafood,24 pieces,13.25,62,0,20,0,27,Escargots Nouveaux,Montceau,France,SAVEA,Save-a-lot Markets,Boise,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10675,1997-09-19,1997-10-17,1997-09-23,58,Escargots de Bourgogne,13.25,30,0.0,2,31.85,Frankenversand,München,Germany,2,United Package,8,Seafood,24 pieces,13.25,62,0,20,0,27,Escargots Nouveaux,Montceau,France,FRANK,Frankenversand,München,Germany,51.165.691,10.451.526,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10359,1996-11-21,1996-12-19,1996-11-26,60,Camembert Pierrot,27.2,80,0.05,3,288.43,Seven Seas Imports,London,UK,3,Federal Shipping,4,Dairy Products,15 - 300 g rounds,34.0,19,0,0,0,28,Gai pâturage,Annecy,France,SEVES,Seven Seas Imports,London,UK,55.378.051,-3.435.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10954,1998-03-17,1998-04-28,1998-03-20,60,Camembert Pierrot,34.0,24,0.15,1,27.91,LINO-Delicateses,I. de Margarita,Venezuela,1,Speedy Express,4,Dairy Products,15 - 300 g rounds,34.0,19,0,0,0,28,Gai pâturage,Annecy,France,LINOD,LINO-Delicateses,I. de Margarita,Venezuela,642.375,-6.658.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10372,1996-12-04,1997-01-01,1996-12-09,60,Camembert Pierrot,27.2,70,0.25,2,890.78,Queen Cozinha,Sao Paulo,Brazil,2,United Package,4,Dairy Products,15 - 300 g rounds,34.0,19,0,0,0,28,Gai pâturage,Annecy,France,QUEEN,Queen Cozinha,Sao Paulo,Brazil,-14.235.004,-5.192.528,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10529,1997-05-07,1997-06-04,1997-05-09,69,Gudbrandsdalsost,36.0,10,0.0,2,66.69,Maison Dewey,Bruxelles,Belgium,2,United Package,4,Dairy Products,10 kg pkg.,36.0,26,0,15,0,15,Norske Meierier,Sandvika,Norway,MAISD,Maison Dewey,Bruxelles,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10359,1996-11-21,1996-12-19,1996-11-26,16,Pavlova,13.9,56,0.05,3,288.43,Seven Seas Imports,London,UK,3,Federal Shipping,3,Confections,32 - 500 g boxes,17.45,29,0,10,0,7,"Pavlova, Ltd.",Melbourne,Australia,SEVES,Seven Seas Imports,London,UK,55.378.051,-3.435.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10730,1997-11-05,1997-12-03,1997-11-14,16,Pavlova,17.45,15,0.05,1,20.12,Bon app',Marseille,France,1,Speedy Express,3,Confections,32 - 500 g boxes,17.45,29,0,10,0,7,"Pavlova, Ltd.",Melbourne,Australia,BONAP,Bon app',Marseille,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10954,1998-03-17,1998-04-28,1998-03-20,16,Pavlova,17.45,28,0.15,1,27.91,LINO-Delicateses,I. de Margarita,Venezuela,1,Speedy Express,3,Confections,32 - 500 g boxes,17.45,29,0,10,0,7,"Pavlova, Ltd.",Melbourne,Australia,LINOD,LINO-Delicateses,I. de Margarita,Venezuela,642.375,-6.658.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10575,1997-06-20,1997-07-04,1997-06-30,59,Raclette Courdavault,55.0,12,0.0,1,127.34,Morgenstern Gesundkost,Leipzig,Germany,1,Speedy Express,4,Dairy Products,5 kg pkg.,55.0,79,0,0,0,28,Gai pâturage,Annecy,France,MORGK,Morgenstern Gesundkost,Leipzig,Germany,51.165.691,10.451.526,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
